UF,id,Cidade,Status,Observações,Falhas
MG,mg_joao_pinheiro,João Pinheiro,False,BaseUrl não funciona,
MG,mg_igarape,Igarapé,True,,
MG,mg_santana_do_paraiso,Santana do Paraíso,True,,
MG,mg_sao_lourenco,São Lourenço,True,,
MG,mg_santos_dumont,Santos Dumont,True,,
MG,mg_arcos,Arcos,True,,
MG,mg_sao_gotardo,São Gotardo,True,,
MG,mg_santa_rita_do_sapucai,Santa Rita do Sapucaí,False,BaseUrl não funciona,
MG,mg_andradas,Andradas,False,BaseUrl não funciona,
MG,mg_almenara,Almenara,True,,
MG,mg_salinas,Salinas,True,,
MG,mg_boa_esperanca,Boa Esperança,True,,
MG,mg_capelinha,Capelinha,False,BaseUrl não funciona,
MG,mg_oliveira,Oliveira,False,BaseUrl não funciona,
MG,mg_visconde_do_rio_branco,Visconde do Rio Branco,True,,
MG,mg_brumadinho,Brumadinho,True,,
MG,mg_caete,Caeté,False,BaseUrl não funciona,
MG,mg_ouro_branco,Ouro Branco,True,,
MG,mg_iturama,Iturama,True,,
MG,mg_mateus_leme,Mateus Leme,True,,
MG,mg_machado,Machado,True,,
MG,mg_jaiba,Jaíba,False,BaseUrl não funciona,
MG,mg_matozinhos,Matozinhos,True,,
MG,mg_porteirinha,Porteirinha,False,,
MG,mg_sarzedo,Sarzedo,True,,
MG,mg_piumhi,Piumhi,False,BaseUrl não funciona,
MG,mg_nanuque,Nanuque,False,BaseUrl não funciona,
MG,mg_sao_joaquim_de_bicas,São Joaquim de Bicas,False,BaseUrl não funciona,
MG,mg_aracuai,Araçuaí,False,BaseUrl não funciona,
MG,mg_varzea_da_palma,Várzea da Palma,True,,
MG,mg_taiobeiras,Taiobeiras,True,,
MG,mg_itamarandiba,Itamarandiba,False,BaseUrl não funciona,
MG,mg_guanhaes,Guanhães,False,Spider não está funcionando como deveria,
MG,mg_ouro_fino,Ouro Fino,True,,
MG,mg_brasilia_de_minas,Brasília de Minas,True,,
MG,mg_carangola,Carangola,True,,
MG,mg_pompeu,Pompéu,True,,
MG,mg_barao_de_cocais,Barão de Cocais,True,,
MG,mg_alem_paraiba,Além Paraíba,True,,
MG,mg_juatuba,Juatuba,True,,
MG,mg_santa_barbara,Santa Bárbara,True,,
MG,mg_espinosa,Espinosa,True,,
MG,mg_claudio,Cláudio,True,,
MG,mg_cambui,Cambuí,True,,
MG,mg_carmo_do_paranaiba,Carmo do Paranaíba,True,,
MG,mg_tres_marias,Três Marias,True,,
MG,mg_coromandel,Coromandel,True,,
MG,mg_conceicao_das_alagoas,Conceição das Alagoas,True,,
MG,mg_prata,Prata,True,,
MG,mg_rio_pardo_de_minas,Rio Pardo de Minas,True,,
MG,mg_mutum,Mutum,True,,
MG,mg_santo_antonio_do_monte,Santo Antônio do Monte,True,,
MG,mg_novo_cruzeiro,Novo Cruzeiro,True,,
MG,mg_pitangui,Pitangui,True,,
